accounts,id1,account and name_file and upload_date (1),id2,account and name_file and upload_date (2),account and name_file and upload_date (3)
account01,2325,account01 - file1.docx - 20/7/2024,2327,account01 - file1.docx - 20/7/2024,2329,account01 - file1.docx - 20/7/2024
account02,2328,account02 - file2.docx - 21/7/2024,2329,account02 - file2.docx - 21/7/2024,2325,account02 - file2.docx - 21/7/2024
account03,2325,account03 - file3.docx - 22/7/2024,2327,account03 - file3.docx - 22/7/2024,2329,account03 - file3.docx - 22/7/2024
account04,2328,account04 - file4.txt - 23/7/2024,2329,account04 - file4.txt - 23/7/2024,2325,account04 - file4.txt - 23/7/2024
account05,2325,account05 - file5.txt - 24/7/2024,2327,account05 - file5.txt - 24/7/2024,2329,account05 - file5.txt - 24/7/2024
account06,2328,account06 - file6.xlsx - 25/7/2024,2329,account06 - file6.xlsx - 25/7/2024,2325,account06 - file6.xlsx - 25/7/2024
account07,2325,account07 - file7.docx - 26/7/2024,2327,account07 - file7.docx - 26/7/2024,2329,account07 - file7.docx - 26/7/2024
account08,2328,account08 - file8.docx - 27/7/2024,2329,account08 - file8.docx - 27/7/2024,2325,account08 - file8.docx - 27/7/2024
account09,2325,account09 - file9.docx - 28/7/2024,2327,account09 - file9.docx - 28/7/2024,2329,account09 - file9.docx - 28/7/2024
account10,2328,account10 - file10.py - 29/7/2024,2329,account10 - file10.py - 29/7/2024,2325,account10 - file10.py - 29/7/2024
Minh Phan,2325,Minh Phan - file11.docx - 30/7/2024,2327,Minh Phan - file11.docx - 30/7/2024,2329,Minh Phan - file11.docx - 30/7/2024
Quang Minh,2328,Quang Minh - file12.docx - 31/7/2024,2329,Quang Minh - file12.docx - 31/7/2024,2325,Quang Minh - file12.docx - 31/7/2024